year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1989,70.1,5.8,33.4,47.0,63.6,0.0,48.5,0.0,0.0,70.1,91.4,0.0,164.9,144.0,48.5,161.5,429.9,308.9,159.1
1990,72.4,18.4,19.2,55.4,60.0,16.6,47.3,24.0,69.8,89.5,108.1,133.4,90.8,134.6,87.9,267.4,714.1,333.4,203.3
1991,60.3,49.1,31.4,23.1,41.3,117.2,52.4,45.5,86.0,100.5,80.6,67.8,242.8,95.8,215.1,267.1,755.2,563.9,279.5
1992,69.9,131.3,31.1,70.6,56.7,41.6,7.0,12.4,51.5,103.2,153.0,178.9,269.0,158.4,61.0,307.7,907.2,549.6,188.3
1993,80.2,30.2,97.3,42.8,59.9,13.9,29.9,39.3,0.0,112.8,67.6,33.9,289.3,200.0,83.1,180.4,607.8,656.2,185.8
1994,121.5,49.7,37.5,10.8,2.6,32.5,61.5,20.4,26.3,40.4,66.9,71.2,205.1,50.9,114.4,133.6,541.3,356.1,127.8
1995,139.7,55.6,10.1,20.1,23.3,59.6,48.9,0.0,17.4,76.5,28.0,39.8,266.5,53.5,108.5,121.9,519.0,446.5,151.9
1996,161.7,56.4,22.5,18.4,43.5,73.7,36.5,28.6,0.0,66.2,133.8,133.5,257.9,84.4,138.8,200.0,774.8,444.0,200.7
1997,134.4,82.2,47.9,37.0,91.4,63.6,55.2,0.0,0.0,25.0,61.5,130.8,350.1,176.3,118.8,86.5,729.0,723.8,247.2
1998,62.7,101.4,124.2,54.4,0.0,81.7,37.0,25.2,85.2,26.1,93.0,170.4,294.9,178.6,143.9,204.3,861.3,616.7,198.3
1999,88.6,79.0,83.9,59.2,104.7,43.4,13.0,0.0,98.0,67.1,85.6,8.8,338.0,247.8,56.4,250.7,731.3,722.2,220.3
2000,55.6,22.9,0.0,23.7,123.3,14.9,5.0,18.7,0.0,83.5,0.0,110.1,87.3,147.0,38.6,83.5,457.7,334.8,185.6
2001,96.4,29.3,85.7,22.2,51.1,93.6,42.2,23.5,3.9,104.6,55.2,101.6,235.8,159.0,159.3,163.7,709.3,488.4,232.6
2002,115.3,0.0,97.0,53.7,58.2,73.5,54.2,9.5,0.0,168.3,110.8,74.6,216.9,208.9,137.2,279.1,815.1,554.5,249.1
2003,87.4,91.0,99.3,16.9,35.3,33.2,39.0,17.2,12.5,17.7,106.6,64.6,253.0,151.5,89.4,136.8,620.7,548.5,141.6
2004,123.3,64.8,36.2,51.5,36.5,0.0,0.0,26.1,0.0,0.0,0.0,98.8,252.7,124.2,26.1,0.0,437.2,483.5,114.1
2005,70.2,0.0,67.6,46.6,3.3,78.9,40.1,24.0,2.8,66.8,88.5,121.1,169.0,117.5,143.0,158.1,609.9,365.4,192.9
2006,77.8,27.1,17.1,63.5,71.5,37.2,25.0,0.0,23.0,91.4,87.5,125.7,226.0,152.1,62.2,201.9,646.8,503.8,197.2
2007,41.3,74.3,91.0,37.8,54.6,55.6,42.2,54.0,37.7,67.8,120.6,0.0,241.3,183.4,151.8,226.1,676.9,567.8,244.2
2008,51.4,32.7,35.5,35.5,35.1,79.1,38.6,20.6,27.5,36.3,61.4,151.5,84.1,106.1,138.3,125.2,605.2,389.9,208.9
2009,6.1,111.4,75.5,55.1,19.6,67.3,34.7,35.1,45.3,38.4,42.7,188.0,269.0,150.2,137.1,126.4,719.2,547.9,211.8
2010,37.8,116.9,76.9,49.1,51.2,79.0,66.1,23.0,71.4,0.0,124.5,0.0,342.7,177.2,168.1,195.9,695.9,641.6,268.4
2011,55.2,34.5,41.5,72.3,33.5,94.4,0.0,0.0,6.9,62.3,119.7,0.0,89.7,147.3,94.4,188.9,520.3,455.9,200.2
2012,138.3,94.4,50.7,67.9,57.4,151.7,43.0,33.4,20.1,104.4,77.5,61.6,232.7,176.0,228.1,202.0,900.4,680.1,353.4
2013,96.0,121.0,94.8,62.7,72.5,66.3,40.7,15.6,11.6,104.2,90.1,72.1,278.6,230.0,122.6,205.9,847.6,652.4,257.8
2014,44.7,26.4,0.0,7.9,30.3,95.7,0.0,22.5,85.2,33.2,0.0,34.1,143.2,38.2,118.2,118.4,380.0,367.2,156.4
2015,55.5,0.0,101.3,64.0,0.0,57.8,47.1,19.5,25.5,28.3,125.7,0.0,89.6,165.3,124.4,179.5,524.7,312.7,188.4
2016,35.1,35.6,32.7,67.8,40.3,26.7,30.4,0.0,35.7,21.5,99.2,32.5,70.7,140.8,57.1,156.4,457.5,363.9,165.2
2017,81.4,127.1,53.0,59.4,36.3,54.8,41.3,62.5,61.2,0.0,112.4,46.1,241.0,148.7,158.6,173.6,735.5,543.7,254.3
2018,86.0,53.8,76.7,41.6,54.8,41.2,67.8,14.5,8.7,40.1,0.0,70.0,185.9,173.1,123.5,48.8,555.2,512.6,219.9
2019,70.3,107.9,22.3,34.3,102.2,32.1,34.8,12.7,0.0,111.2,0.0,126.1,248.2,158.8,79.6,111.2,653.9,439.1,216.1
2020,113.9,69.1,67.9,42.5,34.6,88.7,9.6,56.2,18.9,77.9,138.1,127.3,309.1,145.0,154.5,234.9,844.7,542.8,231.6
2021,73.1,0.0,23.0,48.3,37.1,47.2,47.4,21.3,0.0,44.1,54.2,67.7,200.4,108.4,115.9,98.3,463.4,494.1,201.3
2022,80.5,92.2,29.0,82.2,50.5,43.4,14.0,11.9,41.0,78.3,50.3,145.2,240.4,161.7,69.3,169.6,718.5,499.7,202.0
2023,103.1,48.3,46.5,29.5,57.7,117.5,21.0,34.4,66.1,66.5,128.4,49.6,296.6,133.7,172.9,261.0,768.6,598.1,260.1
2024,7.3,31.0,41.1,76.1,20.3,0.0,41.6,0.0,5.9,27.0,5.1,42.1,87.9,137.5,41.6,38.0,297.5,353.8,138.0
