year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1991,54.0,39.1,98.2,29.1,35.9,30.8,28.9,66.5,17.5,0.0,108.0,150.4,263.4,163.2,126.2,125.5,658.4,549.2,191.2
1992,185.2,87.6,30.7,111.5,88.8,0.0,28.3,0.0,31.4,74.7,80.2,95.3,423.2,231.0,28.3,186.3,813.7,762.2,228.6
1993,124.8,41.7,30.6,38.4,31.5,29.5,24.9,50.2,0.0,143.0,155.9,214.6,261.8,100.5,104.6,298.9,885.1,472.0,174.5
1994,83.7,61.8,39.1,46.0,21.2,22.9,36.0,71.5,58.4,186.6,106.1,241.4,360.1,106.3,130.4,351.1,974.7,645.2,197.6
1995,129.9,93.0,79.5,17.4,73.6,55.9,41.0,0.0,142.8,108.7,81.6,87.5,464.3,170.5,96.9,333.1,910.9,796.8,187.9
1996,131.5,41.0,43.3,16.5,62.5,33.0,0.2,15.1,8.5,73.0,159.4,109.8,260.0,122.3,48.3,240.9,693.8,496.9,127.3
1997,84.3,156.4,0.0,42.8,80.5,63.4,0.2,48.3,127.9,24.8,84.9,115.0,350.5,123.3,111.9,237.6,828.5,696.6,235.2
1998,46.3,65.5,85.8,66.6,31.0,14.1,102.0,131.7,105.4,128.1,126.1,92.8,226.8,183.4,247.8,359.6,995.4,509.2,345.4
1999,128.3,49.3,61.1,21.5,59.3,44.1,24.4,30.2,9.8,165.7,99.0,130.6,270.4,141.9,98.7,274.5,823.3,582.5,179.5
2000,149.2,69.0,105.7,44.8,36.5,63.1,48.0,17.1,42.2,132.7,208.3,161.6,348.8,187.0,128.2,383.2,1078.2,697.9,209.5
2001,73.5,124.9,70.9,28.3,26.3,29.2,79.8,101.0,136.3,126.3,189.9,138.0,360.0,125.5,210.0,452.5,1124.4,723.0,264.6
2002,115.0,109.1,146.4,25.2,41.8,53.8,31.1,64.6,91.9,126.8,2.9,181.3,362.1,213.4,149.5,221.6,989.9,819.2,216.5
2003,0.0,63.3,62.1,49.1,72.2,15.5,9.5,31.6,104.6,72.9,140.7,226.8,244.6,183.4,56.6,318.2,848.3,446.4,177.9
2004,90.4,58.9,66.9,32.5,48.0,40.9,24.2,60.1,0.0,98.1,167.0,143.0,376.1,147.4,125.2,265.1,830.0,705.1,205.7
2005,91.3,37.8,84.3,37.2,59.4,66.4,0.0,110.0,0.0,113.0,40.2,30.0,272.1,180.9,176.4,153.2,669.6,686.4,273.0
2006,134.4,61.1,26.5,18.3,18.6,16.4,30.3,89.6,124.3,42.2,111.6,58.2,225.5,63.4,136.3,278.1,731.5,345.5,173.2
2007,88.4,17.3,84.8,54.8,6.2,58.8,0.0,63.7,73.4,109.5,115.5,124.8,163.9,145.8,122.5,298.4,797.2,480.1,183.5
2008,98.4,48.3,43.8,92.5,14.4,48.9,40.9,5.3,65.7,48.2,46.3,84.7,271.5,150.7,95.1,160.2,637.4,586.6,202.0
2009,148.9,81.3,34.8,83.3,37.5,31.0,68.4,0.0,121.2,193.1,111.1,102.7,314.9,155.6,99.4,425.4,1013.3,547.8,220.2
2010,188.0,47.8,65.7,10.8,18.4,27.3,0.0,89.4,75.5,0.0,226.9,92.6,338.5,94.9,116.7,302.4,842.4,571.8,145.9
2011,63.1,42.7,32.5,63.1,25.8,70.3,0.0,0.0,63.3,136.1,90.9,163.6,198.4,121.4,70.3,290.3,751.4,617.0,159.2
2012,0.0,116.2,130.8,57.7,19.5,35.6,118.3,29.7,50.6,0.8,136.1,119.0,279.8,208.0,183.6,187.5,814.3,614.3,260.8
2013,104.7,104.5,93.7,29.5,4.5,25.0,14.2,66.0,12.4,90.4,94.8,117.5,328.2,127.7,105.2,197.6,757.2,617.0,139.2
2014,151.5,88.6,42.7,0.0,0.0,42.3,118.1,45.7,51.1,123.5,186.1,191.0,357.6,42.7,206.1,360.7,1040.6,537.4,206.1
2015,114.2,80.3,124.4,0.0,9.5,78.5,20.5,45.5,80.6,136.8,125.5,45.0,385.5,133.9,144.5,342.9,860.8,784.0,154.0
2016,123.9,75.8,85.5,18.9,0.8,40.3,2.5,41.9,49.1,159.0,96.8,151.5,244.7,105.2,84.7,304.9,846.0,515.7,104.4
2017,164.6,36.9,62.3,32.0,30.2,39.2,70.7,121.5,19.6,184.6,67.4,28.3,353.0,124.5,231.4,271.6,857.3,613.5,293.6
2018,68.1,80.3,64.6,38.8,0.0,25.1,9.2,42.8,26.5,142.9,173.5,154.8,176.7,103.4,77.1,342.9,826.6,372.6,115.9
2019,66.0,68.8,46.2,59.8,35.3,27.6,61.8,114.3,79.4,87.3,181.9,137.0,289.6,141.3,203.7,348.6,965.4,632.0,298.8
2020,8.0,175.4,83.3,66.0,16.8,46.3,0.0,44.8,37.9,0.0,187.1,13.3,320.4,166.1,91.1,225.0,678.9,714.7,173.9
2021,6.4,77.9,59.1,40.2,18.9,52.5,0.0,86.6,56.0,27.0,89.3,69.1,97.6,118.2,139.1,172.3,583.0,455.4,198.2
2022,54.5,93.0,44.0,22.2,89.5,26.7,6.3,31.2,71.3,212.3,143.9,69.6,216.6,155.7,64.2,427.5,864.5,488.3,175.9
2023,127.1,71.0,65.5,30.3,0.0,45.0,57.4,56.3,54.0,126.9,81.3,189.9,267.7,95.8,158.7,262.2,904.7,552.4,189.0
2024,171.3,70.1,88.0,100.8,22.7,0.0,11.8,0.0,54.8,271.7,104.2,201.4,431.3,211.5,11.8,430.7,1096.8,724.1,135.3
