year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual,Wheat,Sunflower
1984,141.5,35.1,37.0,61.5,86.9,64.2,56.3,0.0,79.9,74.3,74.5,119.2,237.7,185.4,120.5,228.7,830.4,530.2,268.9
1985,147.5,40.2,66.1,15.8,38.3,48.5,92.8,39.3,0.0,0.0,33.7,33.1,306.9,120.2,180.6,33.7,555.3,550.1,234.7
1986,102.9,41.1,21.0,37.7,65.0,73.7,22.7,29.6,4.3,73.4,142.3,93.3,177.1,123.7,126.0,220.0,707.0,408.2,228.7
1987,70.3,21.6,20.0,78.9,29.5,53.1,0.0,25.9,0.0,79.6,38.7,63.6,185.2,128.4,79.0,118.3,481.2,509.0,187.4
1988,83.0,24.9,37.2,44.0,12.4,61.7,75.1,0.0,114.3,32.8,48.1,8.3,171.5,93.6,136.8,195.2,541.8,365.5,193.2
1989,14.3,1.1,62.8,14.9,65.2,43.2,25.6,15.8,54.9,0.0,119.2,92.5,23.7,142.9,84.6,174.1,509.5,257.9,164.7
1990,43.7,52.6,32.7,38.2,0.0,23.6,39.7,36.2,18.3,111.8,41.0,67.7,188.8,70.9,99.5,171.1,505.5,402.5,137.7
1991,96.8,29.0,72.6,28.5,6.5,20.8,49.7,18.5,0.0,39.2,53.6,1.5,193.5,107.6,89.0,92.8,416.7,362.9,124.0
1992,91.5,42.0,58.7,30.4,36.5,6.9,23.2,0.0,43.8,52.2,43.3,20.5,135.0,125.6,30.1,139.3,449.0,321.1,97.0
1993,67.6,57.6,113.2,57.1,85.4,20.1,30.4,0.0,51.0,0.0,116.1,50.7,145.7,255.7,50.5,167.1,649.2,464.8,193.0
1994,24.1,30.6,65.0,25.3,51.1,39.7,11.8,0.0,16.4,25.3,149.6,62.5,105.4,141.4,51.5,191.3,501.4,402.6,127.9
1995,88.7,112.9,81.8,49.2,22.5,95.8,60.2,39.0,34.4,24.1,54.0,155.8,264.1,153.5,195.0,112.5,818.4,663.0,266.7
1996,130.3,57.4,24.4,71.1,83.7,24.5,81.0,64.0,49.0,15.7,104.2,94.8,343.5,179.2,169.5,168.9,800.1,601.2,324.3
1997,89.7,56.0,47.7,51.6,41.2,52.5,57.3,6.7,10.2,12.5,96.4,73.0,240.5,140.5,116.5,119.1,594.8,537.7,209.3
1998,15.3,77.7,36.2,38.7,38.6,90.0,41.4,37.3,11.3,0.0,55.6,0.0,166.0,113.5,168.7,66.9,442.1,465.9,246.0
1999,37.9,117.9,45.4,41.6,67.7,38.2,0.0,67.3,47.8,18.8,42.7,127.8,155.8,154.7,105.5,109.3,653.1,404.3,214.8
2000,106.9,55.3,60.0,25.7,44.5,37.8,0.5,20.9,0.0,45.7,114.4,55.8,290.0,130.2,59.2,160.1,567.5,500.7,129.4
2001,170.7,15.5,62.8,38.5,86.5,82.8,20.4,11.5,0.0,64.0,30.5,82.8,242.0,187.8,114.7,94.5,666.0,627.0,239.7
2002,78.2,54.5,16.6,81.1,62.5,67.4,32.4,6.5,18.2,49.7,119.7,17.4,215.5,160.2,106.3,187.6,604.2,473.6,249.9
2003,41.0,56.4,95.8,88.2,77.4,27.7,25.4,52.1,41.1,7.6,7.6,30.6,114.8,261.4,105.2,56.3,550.9,523.6,270.8
2004,5.3,101.8,7.5,42.0,83.5,73.4,35.2,35.9,12.1,60.1,85.0,7.3,137.7,133.0,144.5,157.2,549.1,351.7,270.0
2005,29.4,70.7,91.8,58.0,60.2,64.6,52.1,13.0,0.0,75.5,121.7,32.5,107.4,210.0,129.7,197.2,669.5,467.0,247.9
2006,69.0,32.7,44.8,30.8,74.0,51.2,0.0,20.0,66.3,73.7,50.4,50.8,134.2,149.6,71.2,190.4,563.7,456.7,176.0
2007,40.0,32.6,58.7,43.1,0.7,78.1,30.8,6.9,23.2,152.7,54.8,79.0,123.4,102.5,115.8,230.7,600.6,354.4,159.6
2008,54.5,58.1,17.6,55.4,66.7,14.9,16.1,57.6,27.7,114.6,51.0,119.1,191.6,139.7,88.6,193.3,653.3,401.0,210.7
2009,0.0,37.3,73.5,60.7,32.9,0.0,34.2,0.0,0.0,65.6,46.5,99.4,156.4,167.1,34.2,112.1,450.1,374.5,127.8
2010,19.8,48.3,12.0,59.8,24.7,40.4,52.0,0.0,66.0,63.8,82.5,99.9,167.5,96.5,92.4,212.3,569.2,350.9,176.9
2011,0.0,82.2,80.4,53.0,94.5,77.1,69.1,21.0,59.3,0.0,51.0,92.6,182.1,227.9,167.2,110.3,680.2,569.6,314.7
2012,34.4,45.1,75.0,90.3,41.6,4.6,9.4,26.4,70.6,24.6,123.1,167.6,172.1,206.9,40.4,218.3,712.7,434.6,172.3
2013,19.6,28.1,77.4,53.9,71.1,24.0,47.6,47.1,39.9,0.0,106.6,115.4,215.3,202.4,118.7,146.5,630.7,564.8,243.7
2014,29.4,78.3,4.5,60.0,89.3,16.6,90.6,34.4,41.6,61.8,3.0,112.5,223.1,153.8,141.6,106.4,622.0,500.1,290.9
2015,26.8,66.7,10.8,34.0,33.7,94.0,19.0,0.6,0.0,25.6,26.4,108.3,206.0,78.5,113.6,52.0,445.9,381.5,181.3
2016,150.5,79.2,8.6,16.1,22.5,51.0,3.5,0.0,39.1,0.0,26.0,1.0,338.0,47.2,54.5,65.1,397.5,462.6,93.1
2017,95.4,57.7,56.2,17.2,46.7,58.5,64.7,23.6,27.5,19.1,68.0,111.4,154.1,120.1,146.8,114.6,646.0,358.7,210.7
2018,72.2,81.0,41.3,65.3,42.8,47.9,3.3,5.7,5.3,0.0,103.3,81.4,264.6,149.4,56.9,108.6,549.5,529.9,165.0
2019,63.0,35.9,37.6,101.2,70.6,25.4,0.0,15.7,25.2,54.6,12.6,82.5,180.3,209.4,41.1,92.4,524.3,518.4,212.9
2020,51.2,5.1,53.8,36.2,39.1,0.1,0.0,24.1,17.1,25.0,101.3,49.4,138.8,129.1,24.2,143.4,402.4,280.6,99.5
2021,38.3,67.0,46.2,55.8,66.6,78.8,33.7,28.1,93.7,44.6,110.6,0.0,154.7,168.6,140.6,248.9,663.4,503.4,263.0
2022,0.0,15.4,50.7,54.3,80.7,0.0,35.5,6.7,57.6,90.4,42.1,82.0,15.4,185.7,42.2,190.1,515.4,311.7,177.2
2023,76.6,77.4,91.1,39.9,78.1,126.3,39.6,0.0,0.0,104.7,91.4,66.8,236.0,209.1,165.9,196.1,791.9,613.5,283.9
2024,48.6,67.6,47.5,22.4,64.4,87.0,19.2,32.6,37.7,139.8,18.7,87.9,183.0,134.3,138.8,196.2,673.4,495.7,225.6
